Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-10-22, Seahawks, 49ers, -6.5, +6.5, +42.0
2015-10-25, Bills, Jaguars, -4.0, +4.0, +41.0
2015-10-25, Browns, Rams, +6.5, -6.5, +42.0
2015-10-25, Texans, Dolphins, +4.5, -4.5, +44.5
2015-10-25, Vikings, Lions, -2.0, +2.0, +44.5
2015-10-25, Falcons, Titans, -6.0, +6.0, +46.5
2015-10-25, Buccaneers, Redskins, +3.0, -3.0, +43.0
2015-10-25, Raiders, Chargers, +3.5, -3.5, +48.0
2015-10-25, Jets, Patriots, +8.5, -8.5, +48.0
2015-10-25, Saints, Colts, +4.0, -4.0, +52.0
2015-10-25, Cowboys, Giants, +3.0, -3.0, +44.5
2015-10-25, Eagles, Panthers, +3.0, -3.0, +45.5
2015-10-25, Steelers, Chiefs, +3.0, -3.0, +43.0
2015-10-26, Ravens, Cardinals, +9.5, -9.5, +49.0
